time,x,y,z,abs,Action
1.94,0.972,0.762,-0.0192,1.24,
1.95,1.15,0.549,0.0896,1.27,
1.96,1.41,0.119,0.173,1.42,
1.97,1.7,-0.307,0.203,1.74,
1.98,1.94,-0.618,0.271,2.05,
1.99,2.07,-0.739,0.348,2.23,
2.0,2.17,-0.79,0.396,2.35,
2.01,2.22,-0.868,0.408,2.42,
2.02,2.22,-0.905,0.43,2.43,
2.03,2.18,-0.803,0.439,2.36,
2.04,2.12,-0.557,0.481,2.24,
2.05,2.01,-0.236,0.526,2.1,
2.06,1.86,0.143,0.574,1.95,
2.07,1.7,0.575,0.632,1.9,
2.08,1.5,1.05,0.692,1.96,
2.09,1.28,1.52,0.755,2.13,
2.1,1.09,1.86,0.792,2.3,
2.11,0.915,2.01,0.809,2.35,
2.12,0.744,2.0,0.766,2.26,
2.13,0.57,1.85,0.707,2.06,
2.14,0.37,1.62,0.521,1.74,
2.15,0.176,1.29,0.26,1.32,
2.16,0.0945,0.779,0.0395,0.786,
2.17,0.0551,0.224,-0.112,0.257,
2.18,-0.0242,-0.313,-0.304,0.437,
2.19,-0.043,-0.829,-0.517,0.978,
2.2,-0.0609,-1.29,-0.661,1.45,
2.21,-0.119,-1.59,-0.788,1.78,
2.22,-0.226,-1.71,-0.901,1.95,
2.23,-0.388,-1.73,-0.954,2.02,
2.24,-0.603,-1.66,-0.95,2.0,
2.25,-0.811,-1.53,-0.793,1.9,
2.26,-0.996,-1.36,-0.481,1.75,
2.27,-1.14,-1.19,-0.208,1.66,
2.28,-1.2,-1.09,-0.0132,1.63,
2.29,-1.23,-1.03,0.214,1.61,
2.3,-1.26,-0.949,0.469,1.64,
2.31,-1.28,-0.879,0.648,1.68,
2.32,-1.3,-0.804,0.723,1.69,
2.33,-1.35,-0.734,0.713,1.69,
2.34,-1.4,-0.65,0.671,1.69,
2.35,-1.45,-0.566,0.586,1.66,
2.36,-1.5,-0.487,0.435,1.63,
2.37,-1.56,-0.432,0.24,1.64,
2.38,-1.59,-0.403,0.0243,1.64,
