time,x,y,z,abs,Action
119.0,2.09,0.533,-1.23,2.48,walking
119.0,2.24,0.629,-1.19,2.61,walking
119.0,2.38,0.712,-1.14,2.73,walking
119.0,2.46,0.811,-1.11,2.82,walking
119.0,2.54,0.885,-1.07,2.9,walking
119.0,2.64,0.885,-0.986,2.95,walking
119.0,2.73,0.81,-0.892,2.98,walking
119.0,2.8,0.65,-0.83,2.99,walking
119.0,2.87,0.37,-0.774,2.99,walking
119.0,2.91,-0.0186,-0.733,3.0,walking
119.0,2.92,-0.406,-0.756,3.04,walking
119.0,2.85,-0.74,-0.833,3.06,walking
119.0,2.77,-1.1,-0.94,3.13,walking
119.0,2.7,-1.51,-0.971,3.25,walking
119.0,2.61,-1.86,-0.914,3.33,walking
119.0,2.44,-1.93,-0.885,3.23,walking
119.0,2.2,-1.76,-0.853,2.94,walking
119.0,1.93,-1.46,-0.746,2.53,walking
119.0,1.67,-1.07,-0.503,2.04,walking
119.0,1.46,-0.631,-0.222,1.61,walking
119.0,1.27,-0.215,0.0226,1.29,walking
119.0,1.14,0.0495,0.217,1.16,walking
119.0,1.03,0.211,0.39,1.12,walking
119.0,0.914,0.242,0.517,1.08,walking
119.0,0.775,0.115,0.614,0.995,walking
119.0,0.587,-0.0974,0.626,0.864,walking
119.0,0.383,-0.4,0.531,0.768,walking
119.0,0.214,-0.788,0.383,0.902,walking
119.0,0.0491,-1.26,0.245,1.29,walking
119.0,-0.134,-1.71,0.159,1.72,walking
119.0,-0.342,-2.01,0.16,2.05,walking
119.0,-0.601,-2.14,0.228,2.23,walking
119.0,-0.874,-2.16,0.31,2.35,walking
119.0,-1.12,-2.11,0.404,2.43,walking
119.0,-1.39,-1.96,0.532,2.46,walking
119.0,-1.6,-1.77,0.698,2.48,walking
119.0,-1.79,-1.57,0.803,2.51,walking
119.0,-1.91,-1.4,0.88,2.53,walking
119.0,-2.0,-1.29,0.944,2.56,walking
119.0,-2.11,-1.19,0.969,2.61,walking
119.0,-2.21,-1.1,0.937,2.65,walking
119.0,-2.34,-1.06,0.817,2.69,walking
119.0,-2.53,-0.99,0.746,2.81,walking
119.0,-2.73,-0.92,0.746,2.98,walking
119.0,-2.84,-0.952,0.579,3.05,walking
119.0,-2.93,-1.01,0.393,3.12,walking
119.0,-3.03,-1.06,0.36,3.23,walking
119.0,-3.13,-1.09,0.371,3.34,walking
119.0,-3.19,-1.11,0.366,3.4,walking
119.0,-3.26,-1.11,0.321,3.45,walking
120.0,-3.31,-1.11,0.279,3.5,walking
120.0,-3.36,-1.08,0.289,3.54,walking
120.0,-3.36,-1.07,0.327,3.54,walking
120.0,-3.31,-1.09,0.367,3.5,walking
120.0,-3.23,-1.15,0.403,3.45,walking
120.0,-3.12,-1.22,0.473,3.39,walking
120.0,-3.03,-1.26,0.544,3.32,walking
120.0,-2.94,-1.29,0.577,3.27,walking
120.0,-2.89,-1.3,0.593,3.23,walking
120.0,-2.85,-1.27,0.612,3.18,walking
120.0,-2.8,-1.21,0.615,3.11,walking
120.0,-2.75,-1.13,0.55,3.02,walking
120.0,-2.69,-1.04,0.453,2.91,walking
120.0,-2.65,-0.931,0.349,2.83,walking
120.0,-2.56,-0.828,0.241,2.7,walking
120.0,-2.45,-0.73,0.144,2.56,walking
120.0,-2.34,-0.611,0.0257,2.42,walking
120.0,-2.17,-0.484,-0.0851,2.22,walking
120.0,-1.96,-0.422,-0.17,2.01,walking
120.0,-1.72,-0.402,-0.259,1.78,walking
120.0,-1.45,-0.415,-0.308,1.54,walking
120.0,-1.17,-0.448,-0.314,1.29,walking
120.0,-0.881,-0.497,-0.294,1.05,walking
120.0,-0.58,-0.621,-0.226,0.88,walking
120.0,-0.283,-0.823,-0.156,0.884,walking
120.0,0.011,-1.13,-0.0418,1.13,walking
120.0,0.237,-1.39,0.158,1.42,walking
120.0,0.303,-1.44,0.37,1.52,walking
120.0,0.354,-1.37,0.578,1.53,walking
120.0,0.452,-1.28,0.836,1.59,walking
120.0,0.586,-1.26,1.01,1.72,walking
120.0,0.723,-1.34,1.12,1.89,walking
120.0,0.797,-1.29,1.33,2.02,walking
120.0,0.828,-1.13,1.53,2.07,walking
120.0,0.882,-0.994,1.67,2.13,walking
120.0,0.969,-0.872,1.8,2.22,walking
120.0,1.03,-0.747,1.92,2.3,walking
120.0,1.04,-0.667,2.04,2.39,walking
120.0,1.04,-0.664,2.08,2.42,walking
120.0,1.05,-0.714,2.01,2.38,walking
120.0,0.963,-0.754,1.9,2.26,walking
120.0,0.746,-0.774,1.76,2.06,walking
120.0,0.514,-0.74,1.59,1.83,walking
120.0,0.323,-0.748,1.41,1.63,walking
120.0,0.143,-0.742,1.23,1.44,walking
120.0,-0.0119,-0.636,1.09,1.27,walking
120.0,-0.0922,-0.546,0.99,1.13,walking
120.0,-0.168,-0.44,0.888,1.01,walking
120.0,-0.239,-0.335,0.781,0.883,walking
120.0,-0.275,-0.272,0.651,0.757,walking
120.0,-0.317,-0.183,0.559,0.668,walking
120.0,-0.365,-0.11,0.471,0.606,walking
120.0,-0.385,-0.0723,0.375,0.542,walking
120.0,-0.402,-0.059,0.292,0.5,walking
120.0,-0.393,-0.0737,0.229,0.461,walking
120.0,-0.378,-0.18,0.197,0.463,walking
120.0,-0.389,-0.272,0.195,0.513,walking
120.0,-0.448,-0.266,0.256,0.581,walking
120.0,-0.501,-0.252,0.333,0.652,walking
120.0,-0.536,-0.219,0.425,0.719,walking
120.0,-0.581,-0.164,0.484,0.773,walking
120.0,-0.632,-0.136,0.511,0.824,walking
120.0,-0.689,-0.115,0.469,0.841,walking
120.0,-0.727,-0.0799,0.421,0.844,walking
120.0,-0.814,-0.0186,0.294,0.865,walking
120.0,-0.889,0.0412,0.132,0.899,walking
120.0,-0.919,0.101,-0.00225,0.925,walking
120.0,-0.945,0.133,-0.084,0.958,walking
120.0,-0.976,0.17,-0.193,1.01,walking
120.0,-0.959,0.202,-0.268,1.02,walking
120.0,-0.901,0.199,-0.291,0.967,walking
120.0,-0.823,0.191,-0.336,0.909,walking
120.0,-0.729,0.189,-0.373,0.841,walking
120.0,-0.604,0.19,-0.394,0.745,walking
120.0,-0.483,0.214,-0.382,0.652,walking
120.0,-0.37,0.266,-0.32,0.557,walking
120.0,-0.247,0.344,-0.281,0.508,walking
120.0,-0.107,0.451,-0.241,0.522,walking
120.0,0.0122,0.573,-0.183,0.601,walking
120.0,0.152,0.661,-0.138,0.692,walking
120.0,0.31,0.712,-0.107,0.783,walking
120.0,0.46,0.764,-0.0579,0.893,walking
120.0,0.629,0.798,-0.0235,1.02,walking
120.0,0.801,0.813,-0.019,1.14,walking
120.0,0.928,0.866,-0.0207,1.27,walking
120.0,1.03,0.929,-0.0361,1.39,walking
120.0,1.1,0.995,-0.0783,1.49,walking
120.0,1.18,1.02,-0.081,1.56,walking
120.0,1.25,1.04,-0.0901,1.63,walking
120.0,1.26,1.12,-0.101,1.69,walking
120.0,1.27,1.2,-0.135,1.75,walking
120.0,1.32,1.19,-0.177,1.79,walking
120.0,1.38,1.1,-0.215,1.78,walking
120.0,1.5,0.916,-0.267,1.77,walking
120.0,1.65,0.606,-0.335,1.79,walking
120.0,1.82,0.236,-0.412,1.88,walking
120.0,2.0,-0.193,-0.518,2.08,walking
120.0,2.16,-0.614,-0.587,2.32,walking
120.0,2.31,-1.02,-0.641,2.6,walking
121.0,2.39,-1.26,-0.693,2.79,walking
121.0,2.37,-1.2,-0.735,2.76,walking
121.0,2.3,-0.917,-0.778,2.6,walking
121.0,2.21,-0.534,-0.735,2.39,walking
121.0,2.19,-0.176,-0.57,2.27,walking
121.0,2.23,0.136,-0.317,2.26,walking
121.0,2.28,0.451,-0.101,2.33,walking
121.0,2.36,0.687,0.0346,2.46,walking
121.0,2.39,0.902,0.0621,2.55,walking
121.0,2.29,1.13,0.0276,2.55,walking
121.0,2.15,1.34,-0.0914,2.54,walking
121.0,1.97,1.47,-0.287,2.48,walking
121.0,1.78,1.52,-0.536,2.4,walking
121.0,1.54,1.56,-0.795,2.33,walking
121.0,1.33,1.56,-1.04,2.29,walking
121.0,1.14,1.45,-1.2,2.21,walking
121.0,1.04,1.29,-1.28,2.1,walking
121.0,0.996,1.12,-1.3,1.98,walking
121.0,0.958,0.86,-1.27,1.81,walking
121.0,0.924,0.505,-1.22,1.61,walking
121.0,0.874,0.123,-1.06,1.38,walking
121.0,0.804,-0.133,-0.831,1.16,walking
121.0,0.707,-0.313,-0.566,0.958,walking
121.0,0.563,-0.454,-0.156,0.74,walking
121.0,0.587,-0.53,0.195,0.815,walking
121.0,0.519,-0.628,0.47,0.941,walking
121.0,0.368,-0.671,0.847,1.14,walking
121.0,0.299,-0.579,1.2,1.36,walking
121.0,0.195,-0.476,1.43,1.52,walking
121.0,0.0708,-0.367,1.62,1.66,walking
121.0,-0.0511,-0.244,1.8,1.82,walking
121.0,-0.181,-0.183,1.92,1.94,walking
121.0,-0.328,-0.178,1.95,1.99,walking
121.0,-0.464,-0.181,1.95,2.01,walking
121.0,-0.65,-0.19,1.91,2.03,walking
121.0,-0.83,-0.223,1.79,1.98,walking
121.0,-0.975,-0.288,1.64,1.93,walking
121.0,-1.1,-0.35,1.45,1.85,walking
121.0,-1.27,-0.39,1.28,1.85,walking
121.0,-1.38,-0.462,1.14,1.85,walking
121.0,-1.46,-0.542,0.992,1.84,walking
121.0,-1.52,-0.594,0.831,1.83,walking
121.0,-1.55,-0.665,0.674,1.82,walking
121.0,-1.59,-0.677,0.516,1.8,walking
121.0,-1.59,-0.665,0.388,1.77,walking
121.0,-1.59,-0.63,0.266,1.74,walking
121.0,-1.59,-0.576,0.163,1.7,walking
121.0,-1.56,-0.495,0.0596,1.64,walking
121.0,-1.51,-0.407,-0.0302,1.57,walking
121.0,-1.44,-0.294,-0.0855,1.47,walking
121.0,-1.35,-0.168,-0.159,1.37,walking
121.0,-1.24,-0.0574,-0.253,1.26,walking
121.0,-1.13,0.0848,-0.314,1.18,walking
121.0,-1.01,0.195,-0.392,1.1,walking
121.0,-0.859,0.267,-0.469,1.01,walking
121.0,-0.742,0.351,-0.559,0.993,walking
121.0,-0.618,0.428,-0.667,1.0,walking
121.0,-0.488,0.483,-0.803,1.06,walking
121.0,-0.373,0.512,-0.922,1.12,walking
121.0,-0.266,0.541,-1.04,1.21,walking
121.0,-0.178,0.542,-1.14,1.28,walking
121.0,-0.0578,0.494,-1.25,1.35,walking
121.0,0.0782,0.465,-1.33,1.41,walking
121.0,0.174,0.463,-1.38,1.47,walking
121.0,0.257,0.445,-1.42,1.51,walking
121.0,0.318,0.468,-1.47,1.57,walking
121.0,0.381,0.476,-1.49,1.61,walking
121.0,0.484,0.437,-1.44,1.58,walking
121.0,0.583,0.381,-1.35,1.52,walking
121.0,0.665,0.37,-1.26,1.47,walking
121.0,0.755,0.321,-1.16,1.42,walking
121.0,0.839,0.231,-1.07,1.38,walking
121.0,0.936,0.178,-0.888,1.3,walking
121.0,1.08,0.00792,-0.707,1.29,walking
121.0,1.34,-0.488,-0.495,1.51,walking
121.0,1.66,-1.25,-0.259,2.09,walking
121.0,1.91,-1.98,-0.0702,2.75,walking
121.0,2.0,-2.39,0.00293,3.12,walking
121.0,1.96,-2.47,0.0595,3.15,walking
121.0,1.93,-2.53,0.284,3.2,walking
121.0,1.91,-2.62,0.587,3.3,walking
121.0,1.81,-2.45,0.889,3.17,walking
121.0,1.61,-1.96,1.14,2.78,walking
121.0,1.38,-1.26,1.33,2.29,walking
121.0,1.2,-0.536,1.52,2.01,walking
121.0,1.08,0.117,1.65,1.97,walking
121.0,1.02,0.673,1.7,2.1,walking
121.0,0.942,1.18,1.62,2.22,walking
121.0,0.763,1.74,1.39,2.36,walking
121.0,0.574,2.27,1.13,2.6,walking
121.0,0.45,2.6,0.863,2.78,walking
121.0,0.357,2.78,0.525,2.85,walking
121.0,0.284,2.75,0.182,2.77,walking
121.0,0.238,2.52,-0.163,2.54,walking
121.0,0.223,2.13,-0.482,2.19,walking
121.0,0.162,1.62,-0.789,1.81,walking
121.0,0.215,0.939,-1.06,1.43,walking
121.0,0.422,0.16,-1.22,1.3,walking
121.0,0.619,-0.566,-1.35,1.59,walking
121.0,0.711,-1.12,-1.52,2.02,walking
122.0,0.62,-1.35,-1.59,2.18,walking
122.0,0.466,-1.36,-1.46,2.05,walking
122.0,0.392,-1.31,-1.08,1.74,walking
122.0,0.334,-1.2,-0.546,1.36,walking
122.0,0.326,-1.06,0.176,1.12,walking
122.0,0.484,-0.897,0.537,1.15,walking
122.0,0.39,-0.821,0.974,1.33,walking
122.0,0.274,-0.692,1.49,1.66,walking
122.0,0.188,-0.534,1.88,1.96,walking
122.0,0.00146,-0.32,2.11,2.14,walking
122.0,-0.192,-0.0613,2.29,2.3,walking
122.0,-0.33,0.15,2.38,2.4,walking
122.0,-0.497,0.331,2.38,2.46,walking
122.0,-0.686,0.544,2.34,2.5,walking
122.0,-0.853,0.685,2.24,2.5,walking
122.0,-0.958,0.767,2.1,2.43,walking
122.0,-0.987,0.816,1.86,2.26,walking
122.0,-1.0,0.824,1.53,2.0,walking
122.0,-0.978,0.675,1.21,1.7,walking
122.0,-0.905,0.518,0.945,1.41,walking
122.0,-0.856,0.475,0.638,1.17,walking
122.0,-0.74,0.456,0.361,0.941,walking
122.0,-0.692,0.545,0.144,0.893,walking
122.0,-0.665,0.718,-0.0129,0.979,walking
122.0,-0.605,0.9,-0.151,1.09,walking
122.0,-0.519,1.04,-0.243,1.19,walking
122.0,-0.409,1.15,-0.304,1.26,walking
122.0,-0.283,1.22,-0.333,1.3,walking
122.0,-0.103,1.25,-0.341,1.3,walking
122.0,0.103,1.21,-0.288,1.25,walking
122.0,0.291,1.11,-0.234,1.17,walking
122.0,0.494,0.939,-0.229,1.09,walking
122.0,0.727,0.725,-0.257,1.06,walking
122.0,0.935,0.517,-0.302,1.11,walking
122.0,1.12,0.333,-0.368,1.23,walking
122.0,1.27,0.218,-0.436,1.36,walking
122.0,1.42,0.161,-0.471,1.51,walking
122.0,1.55,0.0967,-0.516,1.63,walking
122.0,1.66,0.0935,-0.506,1.74,walking
122.0,1.75,0.168,-0.431,1.81,walking
122.0,1.84,0.271,-0.311,1.89,walking
122.0,1.92,0.324,-0.207,1.96,walking
122.0,2.03,0.307,-0.113,2.05,walking
122.0,2.16,0.148,-0.0481,2.17,walking
122.0,2.31,-0.248,0.00516,2.32,walking
122.0,2.4,-0.773,0.0165,2.52,walking
122.0,2.33,-1.09,-0.0149,2.57,walking
122.0,2.12,-1.09,-0.153,2.39,walking
122.0,1.84,-0.895,-0.32,2.07,walking
122.0,1.56,-0.613,-0.287,1.7,walking
122.0,1.29,-0.261,-0.115,1.32,walking
122.0,1.08,0.0719,-0.0298,1.09,walking
122.0,0.975,0.33,0.0756,1.03,walking
122.0,0.893,0.556,0.245,1.08,walking
122.0,0.831,0.7,0.411,1.16,walking
122.0,0.774,0.749,0.565,1.22,walking
122.0,0.664,0.749,0.699,1.22,walking
122.0,0.505,0.756,0.802,1.21,walking
122.0,0.317,0.743,0.84,1.17,walking
122.0,0.158,0.682,0.841,1.09,walking
122.0,0.0361,0.57,0.854,1.03,walking
122.0,-0.0691,0.49,0.92,1.04,walking
122.0,-0.191,0.451,0.976,1.09,walking
122.0,-0.269,0.361,0.999,1.1,walking
122.0,-0.33,0.23,1.09,1.16,walking
122.0,-0.334,0.0352,1.24,1.28,walking
122.0,-0.262,-0.287,1.38,1.44,walking
122.0,-0.172,-0.66,1.51,1.65,walking
122.0,-0.0961,-0.965,1.59,1.86,walking
122.0,-0.0369,-1.19,1.63,2.02,walking
122.0,-0.0347,-1.33,1.78,2.22,walking
122.0,-0.0655,-1.35,2.02,2.43,walking
122.0,-0.0746,-1.3,2.22,2.57,walking
122.0,-0.0707,-1.23,2.42,2.72,walking
122.0,-0.0118,-1.14,2.63,2.87,walking
122.0,0.087,-1.06,2.77,2.97,walking
122.0,0.195,-0.969,2.83,3.0,walking
122.0,0.287,-0.808,2.88,3.0,walking
122.0,0.333,-0.558,2.87,2.94,walking
122.0,0.359,-0.242,2.77,2.8,walking
122.0,0.371,0.0672,2.62,2.65,walking
122.0,0.381,0.327,2.46,2.51,walking
122.0,0.352,0.574,2.33,2.42,walking
122.0,0.282,0.825,2.21,2.37,walking
122.0,0.164,1.04,2.06,2.31,walking
122.0,0.0754,1.14,1.96,2.27,walking
122.0,0.00151,1.18,1.89,2.23,walking
122.0,-0.0785,1.15,1.79,2.13,walking
122.0,-0.14,1.02,1.64,1.94,walking
122.0,-0.198,0.904,1.52,1.78,walking
122.0,-0.295,0.827,1.37,1.63,walking
122.0,-0.415,0.788,1.2,1.5,walking
122.0,-0.534,0.746,1.03,1.38,walking
122.0,-0.598,0.671,0.85,1.24,walking
122.0,-0.684,0.6,0.688,1.14,walking
122.0,-0.727,0.56,0.508,1.05,walking
122.0,-0.725,0.51,0.347,0.952,walking
122.0,-0.686,0.475,0.239,0.868,walking
122.0,-0.628,0.469,0.163,0.801,walking
122.0,-0.551,0.496,0.114,0.75,walking
123.0,-0.448,0.561,0.0787,0.722,walking
123.0,-0.302,0.632,0.0492,0.702,walking
123.0,-0.139,0.664,0.0418,0.68,walking
123.0,0.0302,0.659,0.0666,0.663,walking
123.0,0.174,0.602,0.0997,0.635,walking
123.0,0.314,0.49,0.11,0.592,walking
123.0,0.454,0.399,0.132,0.618,walking
123.0,0.514,0.359,0.134,0.641,walking
123.0,0.538,0.392,0.132,0.679,walking
123.0,0.544,0.421,0.122,0.698,walking
123.0,0.528,0.419,0.104,0.682,walking
123.0,0.549,0.384,0.0282,0.67,walking
123.0,0.587,0.274,0.000534,0.648,walking
123.0,0.654,-0.0381,0.0588,0.657,walking
123.0,0.788,-0.658,0.192,1.04,walking
123.0,0.99,-1.51,0.387,1.85,walking
123.0,1.13,-2.34,0.547,2.66,walking
123.0,1.13,-2.81,0.642,3.09,walking
123.0,0.988,-2.88,0.748,3.13,walking
123.0,0.793,-2.66,0.961,2.94,walking
123.0,0.594,-2.26,1.22,2.63,walking
123.0,0.4,-1.71,1.39,2.24,walking
123.0,0.239,-0.998,1.53,1.84,walking
123.0,0.126,-0.21,1.65,1.67,walking
123.0,0.0567,0.52,1.67,1.75,walking
123.0,0.0836,1.14,1.54,1.92,walking
123.0,0.102,1.57,1.28,2.03,walking
123.0,0.145,1.8,1.04,2.09,walking
123.0,0.192,1.91,0.837,2.1,walking
123.0,0.199,1.93,0.603,2.04,walking
123.0,0.145,1.83,0.314,1.86,walking
123.0,0.112,1.54,0.0299,1.54,walking
123.0,0.12,0.977,-0.209,1.01,walking
123.0,0.149,0.305,-0.383,0.512,walking
123.0,0.226,-0.407,-0.534,0.709,walking
123.0,0.311,-1.01,-0.696,1.27,walking
123.0,0.251,-1.33,-0.862,1.61,walking
123.0,0.107,-1.45,-0.884,1.7,walking
123.0,-0.0839,-1.42,-0.648,1.56,walking
123.0,-0.171,-1.32,-0.177,1.34,walking
123.0,-0.0805,-1.21,0.213,1.24,walking
123.0,-0.117,-1.09,0.654,1.27,walking
123.0,-0.0449,-0.938,1.12,1.46,walking
123.0,0.0287,-0.756,1.56,1.74,walking
123.0,-0.0518,-0.648,1.85,1.96,walking
123.0,-0.122,-0.53,2.09,2.16,walking
123.0,-0.214,-0.413,2.21,2.26,walking
123.0,-0.365,-0.265,2.22,2.26,walking
123.0,-0.525,-0.101,2.17,2.23,walking
123.0,-0.712,0.116,2.03,2.15,walking
123.0,-0.91,0.307,1.75,1.99,walking
123.0,-1.04,0.395,1.39,1.78,walking
123.0,-1.08,0.384,1.02,1.54,walking
123.0,-0.893,0.341,0.855,1.28,walking
123.0,-1.23,0.428,0.325,1.34,walking
123.0,-1.48,0.76,0.0198,1.67,walking
123.0,-1.25,0.76,-0.149,1.47,walking
123.0,-1.13,0.677,-0.303,1.35,walking
123.0,-1.22,0.704,-0.445,1.48,walking
123.0,-1.25,0.802,-0.59,1.6,walking
123.0,-1.34,0.8,-0.689,1.7,walking
123.0,-1.34,0.74,-0.728,1.69,walking
123.0,-1.2,0.754,-0.701,1.58,walking
123.0,-1.03,0.799,-0.661,1.46,walking
123.0,-0.934,0.858,-0.525,1.37,walking
123.0,-0.833,0.882,-0.343,1.26,walking
123.0,-0.698,0.843,-0.244,1.12,walking
123.0,-0.578,0.739,-0.181,0.956,walking
123.0,-0.469,0.653,-0.041,0.805,walking
123.0,-0.315,0.458,-0.0179,0.556,walking
123.0,-0.147,0.201,0.0318,0.251,walking
123.0,0.0351,-0.0703,0.0755,0.109,walking
123.0,0.189,-0.294,0.0328,0.351,walking
123.0,0.265,-0.392,0.0144,0.473,walking
123.0,0.36,-0.465,-0.0126,0.588,walking
123.0,0.483,-0.564,0.00184,0.743,walking
123.0,0.605,-0.628,0.0389,0.873,walking
123.0,0.685,-0.595,0.0931,0.913,walking
123.0,0.729,-0.494,0.0988,0.886,walking
123.0,0.741,-0.378,0.0723,0.835,walking
123.0,0.751,-0.281,0.0545,0.804,walking
123.0,0.864,-0.403,0.0176,0.953,walking
123.0,1.1,-0.837,-0.0448,1.38,walking
123.0,1.27,-1.39,-0.0645,1.89,walking
123.0,1.36,-1.85,-0.0889,2.3,walking
123.0,1.36,-2.05,-0.18,2.47,walking
123.0,1.32,-2.03,-0.293,2.44,walking
123.0,1.26,-2.02,-0.391,2.41,walking
123.0,1.22,-1.99,-0.415,2.37,walking
123.0,1.21,-1.94,-0.403,2.32,walking
123.0,1.2,-1.79,-0.364,2.19,walking
123.0,1.18,-1.51,-0.317,1.94,walking
123.0,1.12,-1.11,-0.238,1.59,walking
123.0,0.949,-0.565,-0.129,1.11,walking
123.0,0.688,0.132,0.0115,0.701,walking
123.0,0.445,0.786,0.151,0.916,walking
123.0,0.21,1.27,0.222,1.3,walking
123.0,0.011,1.6,0.208,1.61,walking
123.0,-0.158,1.74,0.112,1.75,walking
123.0,-0.282,1.67,-0.00109,1.69,walking
124.0,-0.41,1.45,-0.0993,1.51,walking
124.0,-0.572,1.17,-0.216,1.32,walking
124.0,-0.657,0.832,-0.351,1.12,walking
124.0,-0.685,0.406,-0.379,0.882,walking
124.0,-0.653,-0.0111,-0.332,0.733,walking
124.0,-0.63,-0.431,-0.237,0.799,walking
124.0,-0.702,-0.834,-0.0361,1.09,walking
124.0,-0.672,-1.21,0.269,1.41,walking
124.0,-0.646,-1.42,0.688,1.7,walking
124.0,-0.717,-1.4,1.14,1.94,walking
124.0,-0.689,-1.36,1.52,2.16,walking
124.0,-0.605,-1.29,1.89,2.37,walking
124.0,-0.509,-1.22,2.31,2.66,walking
124.0,-0.422,-1.13,2.64,2.91,walking
124.0,-0.337,-1.02,2.87,3.07,walking
124.0,-0.297,-0.918,3.02,3.17,walking
124.0,-0.322,-0.802,3.13,3.24,walking
124.0,-0.436,-0.601,3.22,3.3,walking
124.0,-0.56,-0.411,3.27,3.34,walking
124.0,-0.688,-0.254,3.2,3.29,walking
124.0,-0.842,-0.113,3.09,3.21,walking
124.0,-1.04,-0.00183,2.94,3.12,walking
124.0,-1.23,0.0228,2.69,2.95,walking
124.0,-1.34,-0.0769,2.38,2.73,walking
124.0,-1.49,-0.129,2.11,2.58,walking
124.0,-1.65,-0.076,1.87,2.5,walking
124.0,-1.78,-0.0749,1.6,2.4,walking
124.0,-1.91,-0.109,1.35,2.34,walking
124.0,-2.04,-0.092,1.08,2.31,walking
124.0,-2.18,-0.0101,0.829,2.33,walking
124.0,-2.31,0.0956,0.568,2.38,walking
124.0,-2.41,0.203,0.296,2.43,walking
124.0,-2.47,0.313,0.0457,2.49,walking
124.0,-2.47,0.415,-0.153,2.51,walking
124.0,-2.41,0.504,-0.313,2.48,walking
124.0,-2.28,0.587,-0.441,2.4,walking
124.0,-2.11,0.585,-0.519,2.25,walking
124.0,-1.89,0.495,-0.56,2.03,walking
124.0,-1.68,0.399,-0.537,1.8,walking
124.0,-1.43,0.268,-0.531,1.54,walking
124.0,-1.15,0.115,-0.53,1.27,walking
124.0,-0.902,-0.0423,-0.529,1.05,walking
124.0,-0.702,-0.166,-0.448,0.849,walking
124.0,-0.531,-0.206,-0.343,0.665,walking
124.0,-0.39,-0.116,-0.239,0.472,walking
124.0,-0.285,0.0153,-0.181,0.338,walking
124.0,-0.155,0.108,-0.109,0.218,walking
124.0,0.0602,-0.0322,-0.0165,0.0702,walking
124.0,0.423,-0.579,0.122,0.727,walking
124.0,0.824,-1.37,0.34,1.63,walking
124.0,1.2,-2.21,0.531,2.56,walking
124.0,1.43,-2.82,0.628,3.22,walking
124.0,1.43,-3.02,0.708,3.41,walking
124.0,1.29,-2.99,0.899,3.38,walking
124.0,1.24,-3.02,1.19,3.48,walking
124.0,1.18,-3.03,1.49,3.58,walking
124.0,0.937,-2.64,1.71,3.28,walking
124.0,0.615,-1.84,1.86,2.69,walking
124.0,0.327,-0.903,2.02,2.24,walking
124.0,0.201,-0.12,2.18,2.2,walking
124.0,0.257,0.419,2.23,2.29,walking
124.0,0.32,0.815,2.06,2.24,walking
124.0,0.298,1.14,1.82,2.16,walking
124.0,0.28,1.33,1.5,2.03,walking
124.0,0.274,1.36,1.15,1.8,walking
124.0,0.241,1.26,0.808,1.52,walking
124.0,0.217,1.07,0.468,1.19,walking
124.0,0.203,0.732,0.115,0.769,walking
124.0,0.213,0.302,-0.194,0.418,walking
124.0,0.233,-0.189,-0.497,0.58,walking
124.0,0.275,-0.615,-0.77,1.02,walking
124.0,0.31,-0.961,-1.01,1.43,walking
124.0,0.362,-1.21,-1.23,1.76,walking
124.0,0.349,-1.31,-1.36,1.92,walking
124.0,0.27,-1.23,-1.25,1.77,walking
124.0,0.229,-1.1,-0.953,1.47,walking
124.0,0.18,-0.861,-0.561,1.04,walking
124.0,0.167,-0.609,-0.145,0.648,walking
124.0,0.163,-0.368,0.215,0.456,walking
124.0,0.129,-0.097,0.468,0.495,walking
124.0,0.0855,0.159,0.603,0.629,walking
124.0,0.0326,0.414,0.676,0.793,walking
124.0,-0.0272,0.581,0.554,0.803,walking
124.0,-0.118,0.619,0.246,0.677,walking
124.0,-0.157,0.515,-0.138,0.556,walking
124.0,-0.181,0.477,-0.558,0.756,walking
124.0,-0.27,0.562,-1.04,1.21,walking
124.0,-0.329,0.634,-1.48,1.64,walking
124.0,-0.258,0.685,-1.8,1.94,walking
124.0,-0.184,0.683,-2.07,2.19,walking
124.0,-0.142,0.726,-2.28,2.39,walking
124.0,-0.0741,0.828,-2.34,2.49,walking
124.0,0.06,0.874,-2.37,2.53,walking
124.0,0.227,0.947,-2.35,2.55,walking
124.0,0.382,1.02,-2.31,2.56,walking
124.0,0.511,1.1,-2.2,2.51,walking
124.0,0.623,1.2,-2.0,2.42,walking
124.0,0.651,1.28,-1.79,2.3,walking
124.0,0.847,1.3,-1.6,2.23,walking
124.0,1.05,1.21,-1.47,2.17,walking
125.0,1.21,1.11,-1.31,2.1,walking
125.0,1.4,0.98,-1.16,2.06,walking
125.0,1.62,0.719,-1.06,2.07,walking
125.0,1.81,0.42,-0.986,2.1,walking
125.0,1.91,0.204,-0.899,2.12,walking
125.0,1.95,0.0547,-0.894,2.15,walking
125.0,1.92,0.0516,-0.92,2.13,walking
125.0,1.83,0.125,-0.907,2.05,walking
125.0,1.78,0.208,-0.791,1.96,walking
125.0,1.75,0.253,-0.648,1.89,walking
125.0,1.75,0.364,-0.507,1.86,walking
125.0,1.73,0.469,-0.36,1.83,walking
125.0,1.69,0.528,-0.144,1.77,walking
125.0,1.73,0.613,0.0477,1.84,walking
125.0,1.67,0.79,0.109,1.85,walking
125.0,1.54,0.947,0.181,1.82,walking
125.0,1.5,0.916,0.231,1.77,walking
125.0,1.52,0.655,0.295,1.68,walking
125.0,1.49,0.361,0.289,1.56,walking
